Facility Code,Station Name,Display Name,Postcode,Postcode,Latitude,Longitude,Maximum Capacity (MW),Fuel Tech,2nd Fuel,3rd Fuel,State
NEWGEN_NEERABUP_GT1,NEWGEN_NEERABUP,Neerabup Power Station,WA,6031,-31.6711775,115.7988503,342,gas_ocgt,distillate,,Commissioned
NORTHAM_SF_PV1,NORTHAM_SF,Northam Solar Farm,WA,6401,-31.6516099,116.7115411,7.753,solar,,,Commissioned
NWNMTMN_FIM_INML1,NWNMTMN_FIM_INML1,Newmont Goldcorp,WA,6390,,,,industrial_load,,,
ATLAS,ATLAS,Mirrabooka (Atlas) Landfill Gas,WA,6021,-31.8644574,115.8182949,0,gas_lfg,,,Commissioned
GOSNELLS,GOSNELLS,Gosnells Landfill Gas,WA,6155,-32.0795137,115.8950880,0,gas_lfg,,,Commissioned
ROCKINGHAM,ROCKINGHAM,Rockingham Landfill Gas,WA,6170,-32.2875384,115.8158851,4,gas_lfg,,,Commissioned
SOUTH_CARDUP,SOUTH_CARDUP,South Cardup Landfill Gas,WA,6122,-32.2664200,116.0192630,4.158,gas_lfg,,,Commissioned
WAPL_WORSLEY_IL1,WAPL_WORSLEY_IL1,Worsley Alumia Plant,WA,6225,-33.2423800,116.0707283,,industrial_load,,,Commissioned
PREMPWR_DSP_01,PREMPWR_DSP_01,Wesfarmers Kleenheat Gas Demand Side Management,WA,6000,,,,dsm,,,
PREMPWR_DSP_02,PREMPWR_DSP_02,Wesfarmers Kleenheat Gas Demand Side Management,WA,6000,,,,dsm,,,
PREMPWR_DSP_03,PREMPWR_DSP_03,Wesfarmers Kleenheat Gas Demand Side Management,WA,6000,,,,dsm,,,
PREMPWR_DSP_04,PREMPWR_DSP_04,Wesfarmers Kleenheat Gas Demand Side Management,WA,6000,,,,dsm,,,
PREMPWR_DSP_05,PREMPWR_DSP_05,Wesfarmers Kleenheat Gas Demand Side Management,WA,6000,,,,dsm,,,
PREMPWR_DSP_06,PREMPWR_DSP_06,Wesfarmers Kleenheat Gas Demand Side Management,WA,6000,,,,dsm,,,
PREMPWR_DSP_07,PREMPWR_DSP_07,Wesfarmers Kleenheat Gas Demand Side Management,WA,6000,,,,dsm,,,
STHRNCRS_EG,STHRNCRS,Southern Cross Power Station (Kambalda),WA,6442,-31.1919033,121.6719012,23,gas_ocgt,distillate,,Commissioned
STHRNCRS_IL,STHRNCRS_IL,Southern Cross Energy,WA,6442,-31.1919033,121.6719012,,industrial_load,,,Commissioned
TIWEST_COG1,TIWEST_COG1,Kwinana Tiwest Cogen,WA,6167,-32.2290511,115.7744109,42.1,gas_ocgt,,,Commissioned
TESLA_GERALDTON_G1,TESLA_GERALDTON,Tesla Geraldton Power Station,WA,6532,-28.790815,114.691831,9.9,distillate,,,Commissioned
TESLA_KEMERTON_G1,TESLA_KEMERTON,Tesla Kemerton Power Station,WA,6233,-33.211662,115.760570,9.9,distillate,,,Commissioned
TESLA_PICTON_G1,TESLA_PICTON,Tesla Picton Power Station,WA,6229,-33.356646,115.720980,9.9,distillate,,,Commissioned
TESLA_NORTHAM_G1,TESLA_NORTHAM,Tesla Northam Power Station,WA,6403,-31.642906,116.847503,9.9,distillate,,,Commissioned
BRIDGETOWN_BIOMASS_PLANT,BRIDGETOWN_BIOMASS_PLANT,Manjimup Biomass Plant,WA,6258,-34.3331509,116.1085206,40,biomass,,,Commissioned
WATERCORP_DSP_01,WATERCORP_DSP_01,Watercorp Demand Side Program,WA,6000,,,,dsm,,,
WATERCORP_DSP_02,WATERCORP_DSP_02,Watercorp Demand Side Program,WA,6000,,,,dsm,,,
WATERCORP_DSP_03,WATERCORP_DSP_03,Watercorp Demand Side Program,WA,6000,,,,dsm,,,
WATERCORP_DSP_04,WATERCORP_DSP_04,Watercorp Demand Side Program,WA,6000,,,,dsm,,,
PERTHENERGY_KWINANA_GT1,PERTHENERGY_KWINANA,Kwinana Swift Power Station,WA,6167,-32.223992,115.778516,116,gas_ocgt,distillate,,Commissioned
HENDERSON_RENEWABLE_IG1,HENDERSON_RENEWABLE,Henderson Landfill Gas,WA,6166,-32.1640034,115.790695,3,gas_lfg,,,Commissioned
BREMER_BAY_WF1,BREMER_BAY,Bremer Bay Wind Farm,WA,6338,-34.3990329,119.3893766,0.6,wind,,,Commissioned
COCKBURN_CCG1,COCKBURN,Synergy Cockburn Power Station,WA,6165,-32.200134,115.773988,249.7,gas_ccgt,,,Commissioned
COLLIE_G1,COLLIE,Collie Power Station,WA,6225,-33.341509,116.262185,318.3,black_coal,,,Commissioned
